Carimbo de data/hora,Gênero,Frio,Temperatura Considerada,Chuva,Distância,Tempo Gasto,Selecionar Turno,Impacto do Turno,interesse,Cansaço,Ambiente,Compromissos
2025/06/17 8:00:33 PM GMT-3,Masculino,5,Abaixo de 10 °C,5,5,Maior que 1 hora e 30 minutos,Noite,5,5,5,5,5
2025/06/17 8:00:39 PM GMT-3,Masculino,5,Abaixo de 15 °C,5,5,Menor que 10 minutos,Noite,5,5,5,5,5
2025/06/17 8:00:57 PM GMT-3,Masculino,2,Abaixo de 5 °C,4,0,Menor que 1 hora e 30 minutos,Noite,0,0,4,5,2
2025/06/17 8:01:17 PM GMT-3,Prefiro nao responder,0,Abaixo de 0 °C,0,0,Menor que 30 minutos,Manhã,0,4,1,0,2
2025/06/17 8:01:30 PM GMT-3,Masculino,3,Abaixo de 15 °C,4,0,Menor que 10 minutos,Noite,5,4,4,0,2
2025/06/17 8:01:46 PM GMT-3,Feminino,4,Abaixo de 5 °C,4,1,,Noite,2,3,4,1,2
2025/06/17 8:02:28 PM GMT-3,Masculino,4,Abaixo de 15 °C,4,4,Menor que 30 minutos,Noite,4,3,4,2,3
2025/06/17 8:02:34 PM GMT-3,Masculino,3,Abaixo de 10 °C,5,4,Maior que 1 hora e 30 minutos,Noite,0,4,2,0,4
2025/06/17 8:02:48 PM GMT-3,Prefiro nao responder,5,Abaixo de 5 °C,5,0,,Noite,0,5,5,0,5
2025/06/17 8:04:26 PM GMT-3,Masculino,5,Abaixo de 10 °C,4,4,Menor que 30 minutos,Manhã,3,4,4,5,2
2025/06/17 8:05:08 PM GMT-3,Masculino,2,Abaixo de 10 °C,3,4,Menor que 30 minutos,Noite,0,0,4,0,5
2025/06/17 8:07:47 PM GMT-3,Masculino,4,Abaixo de 15 °C,5,0,Menor que 10 minutos,Noite,3,5,5,2,5
2025/06/17 8:08:00 PM GMT-3,Masculino,4,Abaixo de 10 °C,2,4,Menor que 1 hora e 30 minutos,Noite,2,2,4,0,3
2025/06/17 8:08:01 PM GMT-3,Masculino,4,Abaixo de 15 °C,4,3,Menor que 30 minutos,Noite,3,2,3,1,2
2025/06/17 8:09:40 PM GMT-3,Masculino,3,Abaixo de 5 °C,1,1,Menor que 30 minutos,Noite,3,2,5,5,3
2025/06/17 8:16:20 PM GMT-3,Masculino,3,Abaixo de 10 °C,3,0,Menor que 10 minutos,Noite,0,1,2,0,1
2025/06/17 8:17:19 PM GMT-3,Masculino,3,Abaixo de 5 °C,4,1,Menor que 30 minutos,Noite,2,4,4,1,4
2025/06/17 8:21:54 PM GMT-3,Masculino,0,,0,0,,Noite,5,0,5,0,5
2025/06/17 8:24:07 PM GMT-3,Masculino,2,Abaixo de 10 °C,2,0,,Manhã;Tarde;Noite,4,1,2,1,5
2025/06/17 8:28:18 PM GMT-3,Masculino,4,Abaixo de 0 °C,4,3,Menor que 1 hora e 30 minutos,Noite,1,2,3,1,4
2025/06/17 8:37:11 PM GMT-3,Masculino,2,Abaixo de 5 °C,3,0,Menor que 10 minutos,Manhã;Tarde,0,1,3,1,3
2025/06/17 8:37:15 PM GMT-3,Masculino,2,Abaixo de 5 °C,4,5,Menor que 1 hora e 30 minutos,Noite,3,1,0,0,3
2025/06/17 8:46:09 PM GMT-3,Masculino,1,Abaixo de 0 °C,1,1,Menor que 1 hora e 30 minutos,Tarde,0,2,2,0,1
2025/06/17 8:47:08 PM GMT-3,Masculino,2,Abaixo de 0 °C,3,2,Menor que 1 hora e 30 minutos,Noite,0,3,3,4,2
2025/06/17 8:48:17 PM GMT-3,Feminino,4,Abaixo de 10 °C,3,4,Menor que 1 hora,Manhã;Tarde,2,5,3,3,4
2025/06/17 8:49:45 PM GMT-3,Masculino,4,,5,2,Menor que 10 minutos,Noite,0,5,5,2,5
2025/06/17 8:52:01 PM GMT-3,Feminino,3,Abaixo de 5 °C,4,0,,Noite,4,3,5,4,4
2025/06/17 9:04:27 PM GMT-3,Feminino,0,Abaixo de 0 °C,1,0,Menor que 30 minutos,Noite,5,1,1,0,5
2025/06/17 9:04:53 PM GMT-3,Masculino,2,Abaixo de 5 °C,3,1,,Manhã,3,4,4,5,3
2025/06/17 9:09:14 PM GMT-3,Masculino,2,Abaixo de 5 °C,1,1,Menor que 10 minutos,Noite,0,3,2,2,4
2025/06/17 9:26:22 PM GMT-3,Feminino,2,Abaixo de 5 °C,2,1,Menor que 1 hora,Manhã;Tarde,0,0,3,0,1
